Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Relationship Frequency,0.550546875,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,28543.168989989557,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,3686400.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,5874062.202631792,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,0.007742830129662966,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.593441352710447,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,0.004835689867938288,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,1.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,12.200309781222458,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,778064.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,662699.9636954503,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,1.5680342209924195e-05,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,0.8517293740559264,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,1.8409666283303875e-05,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.21106336805555556,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,27821.678839912747,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,2746336.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,5031821.81646758,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,0.010130471595577797,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.8321945371824788,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,0.0054987429184913195,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.7449913194444444,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,5639.183457424879,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,828432.0,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,1337232.2235210466,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,0.006807056532612065,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.6141725857053404,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,0.004199347329997387,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.2247265625,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,28530.968680208305,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,2908336.0,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,5211362.23893504,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,0.009810066195999468,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.791870760096165,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,0.005444952320544175,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.7889366319444444,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,12122.702354673296,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,828432.0,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,1488913.6481151783,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,0.014633310102305676,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.79726718441004,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,0.008076221705675995,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.2247265625,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,367.6552314647292,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,25072.0,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,53910.01039404669,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,0.014663977004815299,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,2.1502078172481927,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,0.00677360065558761,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.0068012152777777776,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,12654.183699406221,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,3686400.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,3507636.006358919,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,0.0034326670191531634,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.9515071631833005,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,0.003594642207379092,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,1.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,10454.709870465036,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,2650784.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,3031938.3866095925,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,0.003944006705361522,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,1.14378930407366,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Ratio,0.0034363441997553733,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.7190711805555555,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Resource Shared,22.232279985546178,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,770384.0,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,762767.0026987639,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Resource Transfer Rate,2.8858699019639786e-05,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1003
