Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Reproduction Rate,0.0031604907568598193,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.2213447368451702,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.18324869791666668,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Incidence,225.0,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,1150768.0,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,2091728.2902447341,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Rate,0.00019552159948834169,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.8176802711273985,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.3121657986111111,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Incidence,9019.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,3686400.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,5874062.202631792,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Rate,0.002446560329861111,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.593441352710447,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,1.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Incidence,8868.0,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,914992.0,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,788330.3757687301,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Rate,0.009691888016507248,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,0.8615707850655854,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.2482074652777778,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Incidence,8786.0,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,2029536.0,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,3047916.3309943248,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Rate,0.004329068319064062,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.501779880225985,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.550546875,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Incidence,9019.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,3686400.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,5874062.202631792,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Rate,0.002446560329861111,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.593441352710447,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,1.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Incidence,8763.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,778064.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,662699.9636954503,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Rate,0.011262569660079377,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,0.8517293740559264,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.21106336805555556,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Incidence,151.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,2746336.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,5031821.81646758,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Rate,5.498234738939445e-05,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.8321945371824788,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.7449913194444444,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Incidence,223.0,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,828432.0,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,1337232.2235210466,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Rate,0.00026918322807424145,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.6141725857053404,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.2247265625,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Incidence,256.0,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,2908336.0,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,5211362.23893504,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Rate,8.802284192748019e-05,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.791870760096165,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.7889366319444444,Related Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Incidence,10.0,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,828432.0,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,1488913.6481151783,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Rate,1.2070996774629661e-05,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.79726718441004,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.2247265625,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Incidence,0.0,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,25072.0,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,53910.01039404669,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Rate,0.0,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,2.1502078172481927,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.0068012152777777776,Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Reproduction Incidence,11694.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,3686400.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,3507636.006358919,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Rate,0.0031722005208333335,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.9515071631833005,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,1.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Incidence,318.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,2650784.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,3031938.3866095925,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Rate,0.00011996450861330081,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,1.14378930407366,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.7190711805555555,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Incidence,518.0,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,770384.0,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,762767.0026987639,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Rate,0.0006723919499885771,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Mean Source Stockpile,0.990112726508811,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Frequency,0.20898003472222224,Cell Child,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Incidence,11694.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Relationship Incidence,3686400.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Total Source Stockpile,3507636.006358919,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
Reproduction Rate,0.0031722005208333335,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1003
